,Crime_ID,Theft_Type
638,924,Theft of Vehicle
639,925,Theft of Vehicle
640,928,Theft from Vehicle
641,929,Theft of Vehicle
642,930,Theft of Vehicle
643,931,Other Theft
644,932,Theft from Vehicle
645,933,Theft from Vehicle
646,934,Theft from Vehicle
647,937,Theft of Vehicle
649,939,Theft of Vehicle
650,940,Theft from Vehicle
652,943,Theft of Vehicle
653,944,Theft of Vehicle
654,945,Theft of Vehicle
655,947,Theft of Vehicle
656,948,Theft of Vehicle
657,951,Theft of Vehicle
658,952,Theft of Vehicle
659,953,Theft of Vehicle
660,954,Theft from Vehicle
661,956,Theft of Vehicle
662,957,Theft of Vehicle
663,959,Theft from Vehicle
664,960,Theft of Bicycle
665,961,Theft from Vehicle
666,962,Theft of Vehicle
667,963,Theft of Vehicle
668,964,Theft from Vehicle
669,965,Theft of Vehicle
670,966,Theft from Vehicle
671,967,Theft of Vehicle
672,968,Theft of Vehicle
676,972,Theft from Vehicle
678,974,Theft from Vehicle
679,975,Theft from Vehicle
680,978,Theft from Vehicle
682,981,Theft from Vehicle
685,988,Theft from Vehicle
688,992,Theft from Vehicle
689,993,Theft from Vehicle
691,995,Theft from Vehicle
692,996,Theft from Vehicle
694,1000,Theft from Vehicle
695,1002,Other Theft
697,1006,Theft of Vehicle
698,1009,Theft from Vehicle
700,1011,Theft from Vehicle
701,1012,Theft of Vehicle
702,1013,Theft from Vehicle
703,1014,Theft from Vehicle
704,1016,Theft from Vehicle
705,1017,Theft from Vehicle
707,1025,Theft from Vehicle
708,1026,Theft from Vehicle
709,1027,Theft from Vehicle
711,1035,Theft of Vehicle
712,1037,Theft from Vehicle
713,1038,Theft from Vehicle
714,1039,Theft from Vehicle
716,1046,Theft from Vehicle
718,1053,Theft from Vehicle
719,1054,Theft of Vehicle
720,1056,Theft from Vehicle
721,1058,Theft from Vehicle
722,1059,Theft from Vehicle
723,1060,Theft of Vehicle
724,1061,Theft from Vehicle
725,1063,Theft from Vehicle
727,1069,Theft from Vehicle
728,1070,Theft of Vehicle
729,1071,Other Theft
730,1072,Theft from Vehicle
731,1073,Theft from Vehicle
732,1074,Theft from Vehicle
733,1076,Theft of Vehicle
734,1078,Theft of Vehicle
735,1083,Theft from Vehicle
736,1084,Theft of Vehicle
737,1085,Theft from Vehicle
738,1086,Theft from Vehicle
739,1091,Theft from Vehicle
740,1092,Theft from Vehicle
741,1093,Theft of Vehicle
742,1096,Theft from Vehicle
